查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
126,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",447,1057000,328,642120,115,335832
127,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",200,451000,136,252984,30,89152
128,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",248,501400,146,256248,18,58776
129,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",321,780700,180,333952,23,63688
130,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",237,588800,176,322700,63,176800
131,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",3,5100,58,99136,5,13168
132,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",0,0,1,8176,0,0
133,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",364,907300,248,481936,72,238208
134,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",491,1002300,213,458320,73,232400
135,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",350,872600,199,374904,64,186624
136,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",447,1078900,208,432696,69,233792
137,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",5,14700,88,285728,20,103832
138,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",277,686900,156,314640,31,88560
139,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",260,652300,152,287168,46,145792
140,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",413,1045800,287,509664,92,295760
141,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",636,1704600,488,983032,147,463376
142,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",538,1376500,376,785560,127,399200
143,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",363,1024400,277,553704,96,303424
144,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",4,12400,0,0,31,89624
145,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",121,323000,125,272600,30,95264
146,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",25,60300,530,2108840,11,55712
147,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",197,513600,189,375792,35,100720
148,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",325,887000,232,439328,48,154352
149,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",6,16200,2,9904,1,2888
150,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",266,674300,240,469392,62,198160
151,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",346,896900,303,614224,74,219128
152,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",13,21400,0,0,0,0
153,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",250,634700,236,450576,54,165248
154,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",521,1350100,406,807808,94,299440
155,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",326,861100,259,498200,61,215672
156,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",246,603300,248,491168,59,199024
157,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",365,1013000,319,638896,49,167496
158,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",9,27500,47,106848,11,46528
159,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",376,943800,290,665272,91,300008
160,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",445,1019600,274,544160,142,405616
161,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",131,330300,203,365264,0,0
162,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",375,894700,309,618312,130,404688
163,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",504,1200500,334,654256,95,294288
164,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",566,1370300,356,740224,168,514368
165,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",278,632000,141,260072,86,233776
166,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",515,1060900,327,583520,176,457784
167,2016-03-25 00:30:00,2016-03-25 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",367,650900,118,227000,87,234560
